pages,output
1,"11"
2,"7"
3,"5"
4,"6"
5,"6"
6,"6"
7,"8"
8,"7"
9,"16"
10,"20"
11,"27"
12,"23"
13,"26"
14,"30"
15,"31"
16,"25"
17,"27"
18,"27"
19,"29"
20,"33"
21,"32"
22,"33"
23,"32"
24,"31"
25,"31"
26,"32"
27,"31"
28,"31"
29,"34"
30,"31"
31,"-1041"
32,"33"
33,"33"
34,"33"
35,"33"
36,"33"
37,"33"
38,"31"
39,"33"
40,"32"
41,"33"
42,"35"
43,"35"
44,"34"
45,"-707"
46,"35"
47,"33"
48,"35"
49,"36"
50,"36"
51,"36"
52,"35"
53,"36"
54,"35"
55,"35"
56,"35"
57,"34"
58,"37"
59,"35"
60,"36"
61,"35"
62,"37"
63,"34"
64,"34"
